restaurant id,category id,item id,category,item,serving size (oz),calories,calories from fat,total fat (g),total fat (% daily value),saturated fat (g),saturated fat (% daily value),trans fat (g),cholesterol (mg),cholesterol (% daily value),sodium (mg),sodium (% daily value),carbohydrates (g),carbohydrates (% daily value),dietary fiber (g),dietary fiber (% daily value),sugars (g),protein (g),vitamin a (% daily value),vitamin c (% daily value),calcium (% daily value),iron (% daily value)
3000,100,663,Breakfast,Everything Bagel with Cheese,,290,,3.5,,,,,,,,,53,,2,,,11.0,,,,
3000,100,664,Breakfast,Frappuccino® Cookie Straw,,90,,3.0,,,,,,,,,14,,0,,,1.0,,,,
3000,100,665,Breakfast,French Toast - Bantam Bagels (2 Pack),,200,,8.0,,,,,,,,,30,,0,,,6.0,,,,
3000,129,666,Desert,Gluten-Free Marshmallow Dream Bar,,240,,5.0,,,,,,,,,45,,0,,,2.0,,,,
3000,129,667,Desert,Ice Cream Cone Sugar Cookie,,250,,14.0,,,,,,,,,29,,1,,,3.0,,,,
3000,129,668,Desert,Iced Lemon Pound Cake,,470,,20.0,,,,,,,,,68,,1,,,6.0,,,,
3000,100,669,Breakfast,Michigan Cherry Oat Bar,,310,,10.0,,,,,,,,,47,,2,,,3.0,,,,
3000,100,670,Breakfast,Multigrain Bagel,,350,,4.0,,,,,,,,,64,,8,,,17.0,,,,
3000,129,671,Desert,Oatmeal Cookie,,290,,12.0,,,,,,,,,40,,3,,,5.0,,,,
3000,129,672,Desert,Octopus Cookie,,330,,18.0,,,,,,,,,39,,1,,,3.0,,,,
3000,100,673,Breakfast,Old-Fashioned Glazed Doughnut,,480,,27.0,,,,,,,,,56,,1,,,5.0,,,,
3000,129,674,Desert,Peanut butter cup cookie,,360,,21.0,,,,,,,,,36,,3,,,8.0,,,,
3000,129,675,Desert,Pecan Tart,,330,,18.0,,,,,,,,,39,,1,,,4.0,,,,
3000,100,676,Breakfast,Petite Vanilla Bean Scone,,120,,4.5,,,,,,,,,18,,0,,,2.0,,,,
3000,100,677,Breakfast,Plain Bagel,,280,,1.5,,,,,,,,,56,,2,,,9.0,,,,
3000,100,678,Breakfast,Pumpkin Bread,,410,,15.0,,,,,,,,,63,,2,,,6.0,,,,
3000,100,679,Breakfast,Raspberry Swirl Loaf Cake,,420,,17.0,,,,,,,,,61,,1,,,6.0,,,,
3000,129,680,Desert,Raspberry Whoopie Pie,,360,,18.0,,,,,,,,,45,,1,,,3.0,,,,
3000,100,681,Breakfast,Reduced-Fat Cinnamon Swirl Coffee Cake,,370,,9.0,,,,,,,,,67,,2,,,5.0,,,,
3000,129,682,Desert,S'mores Bar,,330,,17.0,,,,,,,,,44,,1,,,2.0,,,,
3000,129,683,Desert,S'mores Bar Multipack,,330,,17.0,,,,,,,,,44,,1,,,2.0,,,,
3000,100,684,Breakfast,Sprouted Grain Vegan Bagel,,330,,6.0,,,,,,,,,57,,7,,,12.0,,,,
3000,129,685,Desert,Strawberry Cake Pop,,180,,9.0,,,,,,,,,23,,0,,,2.0,,,,
3000,100,686,Breakfast,The Classic - Bantam Bagels (2 Pack),,200,,8.0,,,,,,,,,28,,0,,,6.0,,,,
3000,129,687,Desert,Toffeedoodle,,300,,13.0,,,,,,,,,44,,1,,,3.0,,,,
3000,129,688,Desert,Vanilla Bean Whoopie Pie,,360,,18.0,,,,,,,,,45,,1,,,3.0,,,,
3000,100,689,Breakfast,Vermont Maple Walnut Muffin,,390,,21.0,,,,,,,,,45,,2,,,6.0,,,,
